#Results for evolved program
#Output
#X    Expected     Actual
0 -127.2 221.978
1 -118.5 272.954
2 -94.4 338.825
3 -45.9 428.527
4 36 550.997
5 160.3 715.172
6 336 929.989
7 572.1 1204.38
8 877.6 1547.29
9 1261.5 1967.66
10 1732.8 2474.41
11 2300.5 3076.49
12 2973.6 3782.82
13 3761.1 4602.36
14 4672 5544.04
15 5715.3 6616.78
16 6900 7829.54
17 8235.1 9191.24
18 9729.6 10710.8
19 11392.5 12397.2
20 13232.8 14259.4
21 15259.5 16306.2
22 17481.6 18546.7
23 19908.1 20989.8
24 22548 23644.3
25 25410.3 26519.3
26 28504 29623.7
27 31838.1 32966.4
28 35421.6 36556.3
29 39263.5 40402.5
30 43372.8 44513.7
31 47758.5 48899
32 52429.6 53567.3
33 57395.1 58527.6
34 62664 63788.7
35 68245.3 69359.6
36 74148 75249.3
37 80381.1 81466.6
38 86953.6 88020.6
39 93874.5 94920.1
40 101153 102174
41 108798 109792
42 116818 117781
43 125222 126152
44 134020 134914
45 143220 144074
46 152832 153643
47 162864 163629
48 173326 174040
49 184226 184887
50 195573 196177
51 207376 207921
52 219646 220126
53 232389 232801
54 245616 245957
55 259335 259600
56 273556 273742
57 288287 288389
58 303538 303552
59 319316 319240
60 335633 335460
61 352496 352223
62 369914 369537
63 387896 387411
64 406452 405854
65 425590 424874
66 445320 444482
67 465650 464685
68 486590 485493
69 508148 506915
70 530333 528960
71 553154 551635
72 576622 574952
73 600743 598918
74 625528 623542
75 650985 648833
76 677124 674801
77 703953 701453
78 731482 728800
79 759718 756850
80 788673 785612
81 818354 815095
82 848770 845307
83 879930 876259
84 911844 907958
85 944520 940413
86 977968 973635
87 1.0122e+06 1.00763e+06
88 1.04721e+06 1.04241e+06
89 1.08303e+06 1.07798e+06
90 1.11965e+06 1.11435e+06
91 1.15709e+06 1.15154e+06
92 1.19536e+06 1.18954e+06
93 1.23446e+06 1.22837e+06
94 1.2744e+06 1.26804e+06
95 1.3152e+06 1.30855e+06
96 1.35685e+06 1.34992e+06
97 1.39938e+06 1.39215e+06
98 1.44279e+06 1.43526e+06
99 1.48708e+06 1.47925e+06
100 1.53227e+06 1.52412e+06
101 1.57837e+06 1.5699e+06
102 1.62539e+06 1.61659e+06
103 1.67332e+06 1.66419e+06
104 1.7222e+06 1.71272e+06
105 1.77201e+06 1.76219e+06
106 1.82278e+06 1.8126e+06
107 1.8745e+06 1.86396e+06
108 1.9272e+06 1.91628e+06
109 1.98087e+06 1.96958e+06
110 2.03553e+06 2.02386e+06
111 2.09119e+06 2.07912e+06
112 2.14785e+06 2.13538e+06
113 2.20553e+06 2.19265e+06
114 2.26423e+06 2.25094e+06
115 2.32397e+06 2.31025e+06
116 2.38474e+06 2.3706e+06
117 2.44657e+06 2.43198e+06
118 2.50945e+06 2.49442e+06
