#Results for evolved program
#Output
#X    Expected     Actual
0 -127.2 -0
1 -118.5 -0.821067
2 -94.4 6.2249
3 -45.9 27.2434
4 36 61.3208
5 160.3 107.437
6 336 164.868
7 572.1 233.047
8 877.6 311.492
9 1261.5 399.766
10 1732.8 497.473
11 2300.5 604.24
12 2973.6 719.719
13 3761.1 843.582
14 4672 975.516
15 5715.3 1115.23
16 6900 1262.43
17 8235.1 1416.87
18 9729.6 1578.28
19 11392.5 1746.43
20 13232.8 1921.07
21 15259.5 2102
22 17481.6 2289.01
23 19908.1 2481.88
24 22548 2680.43
25 25410.3 2884.48
26 28504 3093.84
27 31838.1 3308.36
28 35421.6 3527.87
29 39263.5 3752.21
30 43372.8 3981.23
31 47758.5 4214.8
32 52429.6 4452.78
33 57395.1 4695.03
34 62664 4941.43
35 68245.3 5191.86
36 74148 5446.2
37 80381.1 5704.34
38 86953.6 5966.18
39 93874.5 6231.6
40 101153 6500.51
41 108798 6772.81
42 116818 7048.41
43 125222 7327.23
44 134020 7609.16
45 143220 7894.14
46 152832 8182.08
47 162864 8472.9
48 173326 8766.53
49 184226 9062.89
50 195573 9361.92
51 207376 9663.56
52 219646 9967.72
53 232389 10274.4
54 245616 10583.4
55 259335 10894.8
56 273556 11208.5
57 288287 11524.4
58 303538 11842.6
59 319316 12162.8
60 335633 12485.1
61 352496 12809.5
62 369914 13135.9
63 387896 13464.2
64 406452 13794.4
65 425590 14126.4
66 445320 14460.3
67 465650 14796
68 486590 15133.3
69 508148 15472.4
70 530333 15813.2
71 553154 16155.5
72 576622 16499.5
73 600743 16845
74 625528 17192
75 650985 17540.5
76 677124 17890.5
77 703953 18241.9
78 731482 18594.7
79 759718 18948.9
80 788673 19304.4
81 818354 19661.2
82 848770 20019.4
83 879930 20378.7
84 911844 20739.4
85 944520 21101.2
86 977968 21464.2
87 1.0122e+06 21828.4
88 1.04721e+06 22193.8
89 1.08303e+06 22560.3
90 1.11965e+06 22927.8
91 1.15709e+06 23296.5
92 1.19536e+06 23666.2
93 1.23446e+06 24036.9
94 1.2744e+06 24408.7
95 1.3152e+06 24781.5
96 1.35685e+06 25155.3
97 1.39938e+06 25530
98 1.44279e+06 25905.7
99 1.48708e+06 26282.3
100 1.53227e+06 26659.8
101 1.57837e+06 27038.2
102 1.62539e+06 27417.5
103 1.67332e+06 27797.7
104 1.7222e+06 28178.8
105 1.77201e+06 28560.6
106 1.82278e+06 28943.3
107 1.8745e+06 29326.8
108 1.9272e+06 29711.1
109 1.98087e+06 30096.2
110 2.03553e+06 30482
111 2.09119e+06 30868.6
112 2.14785e+06 31256
113 2.20553e+06 31644
114 2.26423e+06 32032.8
115 2.32397e+06 32422.3
116 2.38474e+06 32812.5
117 2.44657e+06 33203.4
118 2.50945e+06 33595
119 2.5734e+06 33987.2
120 2.63843e+06 34380.1
121 2.70455e+06 34773.6
122 2.77176e+06 35167.7
123 2.84008e+06 35562.5
124 2.90951e+06 35957.9
125 2.98006e+06 36353.8
126 3.05174e+06 36750.4
127 3.12457e+06 37147.5
128 3.19854e+06 37545.3
129 3.27367e+06 37943.6
130 3.34997e+06 38342.4
131 3.42745e+06 38741.8
132 3.50611e+06 39141.8
133 3.58597e+06 39542.2
134 3.66702e+06 39943.2
135 3.7493e+06 40344.7
136 3.83279e+06 40746.8
137 3.91751e+06 41149.3
138 4.00347e+06 41552.3
139 4.09068e+06 41955.8
140 4.17915e+06 42359.8
141 4.26889e+06 42764.3
142 4.3599e+06 43169.2
143 4.45219e+06 43574.6
144 4.54578e+06 43980.4
145 4.64067e+06 44386.7
146 4.73687e+06 44793.4
147 4.83439e+06 45200.6
148 4.93325e+06 45608.2
149 5.03344e+06 46016.2
150 5.13497e+06 46424.7
151 5.23787e+06 46833.5
152 5.34213e+06 47242.7
153 5.44776e+06 47652.4
154 5.55478e+06 48062.4
155 5.66319e+06 48472.9
156 5.773e+06 48883.7
157 5.88422e+06 49294.9
158 5.99686e+06 49706.5
159 6.11093e+06 50118.4
160 6.22643e+06 50530.7
161 6.34339e+06 50943.4
162 6.46179e+06 51356.4
163 6.58167e+06 51769.7
164 6.70301e+06 52183.5
165 6.82584e+06 52597.5
166 6.95016e+06 53011.9
167 7.07598e+06 53426.6
168 7.20331e+06 53841.7
169 7.33216e+06 54257.1
170 7.46253e+06 54672.7
171 7.59444e+06 55088.8
172 7.7279e+06 55505.1
173 7.86291e+06 55921.7
174 7.99949e+06 56338.6
175 8.13764e+06 56755.9
176 8.27736e+06 57173.4
177 8.41868e+06 57591.2
178 8.5616e+06 58009.4
179 8.70613e+06 58427.8
180 8.85227e+06 58846.4
181 9.00004e+06 59265.4
182 9.14945e+06 59684.6
183 9.3005e+06 60104.2
184 9.4532e+06 60523.9
185 9.60757e+06 60944
186 9.76361e+06 61364.3
187 9.92133e+06 61784.9
188 1.00807e+07 62205.7
189 1.02418e+07 62626.8
190 1.04047e+07 63048.1
191 1.05692e+07 63469.7
192 1.07354e+07 63891.5
193 1.09034e+07 64313.6
194 1.10732e+07 64735.9
195 1.12446e+07 65158.4
196 1.14179e+07 65581.2
197 1.15929e+07 66004.2
198 1.17697e+07 66427.4
199 1.19483e+07 66850.9
200 1.21287e+07 67274.6
201 1.23109e+07 67698.5
202 1.24949e+07 68122.6
203 1.26807e+07 68547
204 1.28684e+07 68971.5
205 1.30579e+07 69396.3
206 1.32492e+07 69821.3
207 1.34424e+07 70246.5
208 1.36375e+07 70671.8
209 1.38345e+07 71097.4
210 1.40333e+07 71523.2
211 1.42341e+07 71949.2
212 1.44367e+07 72375.4
213 1.46413e+07 72801.8
214 1.48478e+07 73228.4
215 1.50562e+07 73655.1
216 1.52666e+07 74082.1
217 1.54789e+07 74509.2
218 1.56932e+07 74936.5
219 1.59094e+07 75364
220 1.61276e+07 75791.7
221 1.63478e+07 76219.6
222 1.657e+07 76647.6
223 1.67942e+07 77075.8
224 1.70205e+07 77504.2
225 1.72487e+07 77932.7
226 1.7479e+07 78361.5
227 1.77113e+07 78790.4
228 1.79457e+07 79219.4
229 1.81821e+07 79648.6
230 1.84206e+07 80078
231 1.86611e+07 80507.6
232 1.89038e+07 80937.3
233 1.91485e+07 81367.1
234 1.93954e+07 81797.1
235 1.96443e+07 82227.3
236 1.98954e+07 82657.6
237 2.01486e+07 83088.1
238 2.0404e+07 83518.7
239 2.06615e+07 83949.5
240 2.09212e+07 84380.4
241 2.1183e+07 84811.5
242 2.1447e+07 85242.7
243 2.17132e+07 85674.1
244 2.19815e+07 86105.6
245 2.22521e+07 86537.2
246 2.25249e+07 86969
247 2.27999e+07 87400.9
248 2.30772e+07 87832.9
249 2.33566e+07 88265.1
250 2.36384e+07 88697.4
251 2.39224e+07 89129.9
252 2.42086e+07 89562.5
253 2.44971e+07 89995.2
254 2.47879e+07 90428
255 2.5081e+07 90861
256 2.53764e+07 91294.1
257 2.56741e+07 91727.3
258 2.59742e+07 92160.6
259 2.62765e+07 92594.1
260 2.65812e+07 93027.7
261 2.68883e+07 93461.4
262 2.71977e+07 93895.2
263 2.75094e+07 94329.2
264 2.78236e+07 94763.2
265 2.81401e+07 95197.4
266 2.8459e+07 95631.7
267 2.87803e+07 96066.1
268 2.9104e+07 96500.6
269 2.94302e+07 96935.3
270 2.97587e+07 97370
271 3.00897e+07 97804.9
272 3.04232e+07 98239.8
273 3.07591e+07 98674.9
274 3.10974e+07 99110.1
275 3.14383e+07 99545.4
276 3.17816e+07 99980.8
277 3.21274e+07 100416
278 3.24757e+07 100852
279 3.28265e+07 101288
280 3.31799e+07 101723
281 3.35357e+07 102159
282 3.38941e+07 102595
283 3.42551e+07 103031
284 3.46186e+07 103468
285 3.49846e+07 103904
286 3.53532e+07 104340
287 3.57245e+07 104777
288 3.60983e+07 105213
289 3.64746e+07 105650
290 3.68537e+07 106087
291 3.72353e+07 106524
292 3.76195e+07 106961
293 3.80064e+07 107398
294 3.83959e+07 107835
295 3.87881e+07 108272
296 3.91829e+07 108709
297 3.95804e+07 109147
298 3.99806e+07 109584
299 4.03835e+07 110022
300 4.07891e+07 110460
301 4.11974e+07 110897
302 4.16083e+07 111335
303 4.20221e+07 111773
304 4.24385e+07 112211
305 4.28577e+07 112649
306 4.32797e+07 113087
307 4.37044e+07 113526
308 4.41318e+07 113964
309 4.45621e+07 114402
310 4.49951e+07 114841
311 4.5431e+07 115279
312 4.58696e+07 115718
313 4.63111e+07 116157
314 4.67554e+07 116596
315 4.72025e+07 117034
316 4.76524e+07 117473
317 4.81052e+07 117912
318 4.85609e+07 118352
319 4.90194e+07 118791
320 4.94808e+07 119230
321 4.99451e+07 119669
322 5.04123e+07 120109
323 5.08824e+07 120548
324 5.13554e+07 120988
325 5.18314e+07 121427
326 5.23102e+07 121867
327 5.2792e+07 122307
328 5.32768e+07 122747
329 5.37645e+07 123186
330 5.42552e+07 123626
331 5.47488e+07 124066
332 5.52455e+07 124507
333 5.57451e+07 124947
334 5.62477e+07 125387
335 5.67534e+07 125827
