#Results for evolved program
#Output
#X    Expected     Actual
0 -127.2 -85.1131
1 -118.5 -80.2585
2 -94.4 -59.7566
3 -45.9 -14.6768
4 36 63.9344
5 160.3 185.045
6 336 357.632
7 572.1 590.68
8 877.6 893.176
9 1261.5 1274.11
10 1732.8 1742.49
11 2300.5 2307.29
12 2973.6 2977.53
13 3761.1 3762.19
14 4672 4670.28
15 5715.3 5710.8
16 6900 6892.75
17 8235.1 8225.14
18 9729.6 9716.95
19 11392.5 11377.2
20 13232.8 13214.9
21 15259.5 15239
22 17481.6 17458.6
23 19908.1 19882.6
24 22548 22520.1
25 25410.3 25380
26 28504 28471.3
27 31838.1 31803.2
28 35421.6 35384.4
29 39263.5 39224.2
30 43372.8 43331.4
31 47758.5 47715.1
32 52429.6 52384.3
33 57395.1 57347.9
34 62664 62615
35 68245.3 68194.6
36 74148 74095.7
37 80381.1 80327.3
38 86953.6 86898.4
39 93874.5 93818
40 101153 101095
41 108798 108739
42 116818 116758
43 125222 125161
44 134020 133958
45 143220 143158
46 152832 152769
47 162864 162801
48 173326 173262
49 184226 184162
50 195573 195509
51 207376 207313
52 219646 219583
53 232389 232327
54 245616 245554
55 259335 259274
56 273556 273496
57 288287 288228
58 303538 303480
59 319316 319260
60 335633 335578
61 352496 352443
62 369914 369863
63 387896 387847
64 406452 406406
65 425590 425547
66 445320 445279
67 465650 465612
68 486590 486555
69 508148 508116
70 530333 530305
71 553154 553131
72 576622 576602
73 600743 600727
74 625528 625517
75 650985 650979
76 677124 677123
77 703953 703957
78 731482 731491
79 759718 759734
80 788673 788694
81 818354 818381
82 848770 848803
83 879930 879971
84 911844 911892
85 944520 944575
86 977968 978030
87 1.0122e+06 1.01227e+06
88 1.04721e+06 1.04729e+06
89 1.08303e+06 1.08312e+06
90 1.11965e+06 1.11975e+06
91 1.15709e+06 1.1572e+06
92 1.19536e+06 1.19547e+06
93 1.23446e+06 1.23458e+06
94 1.2744e+06 1.27453e+06
95 1.3152e+06 1.31534e+06
96 1.35685e+06 1.35701e+06
97 1.39938e+06 1.39954e+06
98 1.44279e+06 1.44296e+06
99 1.48708e+06 1.48727e+06
100 1.53227e+06 1.53247e+06
101 1.57837e+06 1.57858e+06
102 1.62539e+06 1.62561e+06
