#Results for evolved program
#Output
#X    Expected     Actual
0 -127.2 0
1 -118.5 1
2 -94.4 2
3 -45.9 3
4 36 4
5 160.3 5
6 336 6
7 572.1 7
8 877.6 8
9 1261.5 9
10 1732.8 10
11 2300.5 11
12 2973.6 12
13 3761.1 13
14 4672 14
15 5715.3 15
16 6900 16
17 8235.1 17
18 9729.6 18
19 11392.5 19
20 13232.8 20
21 15259.5 21
22 17481.6 22
23 19908.1 23
24 22548 24
25 25410.3 25
26 28504 26
27 31838.1 27
28 35421.6 28
29 39263.5 29
30 43372.8 30
31 47758.5 31
32 52429.6 32
33 57395.1 33
34 62664 34
35 68245.3 35
36 74148 36
37 80381.1 37
38 86953.6 38
39 93874.5 39
40 101153 40
41 108798 41
42 116818 42
43 125222 43
44 134020 44
45 143220 45
46 152832 46
47 162864 47
48 173326 48
49 184226 49
50 195573 50
51 207376 51
52 219646 52
53 232389 53
54 245616 54
55 259335 55
56 273556 56
57 288287 57
58 303538 58
59 319316 59
60 335633 60
61 352496 61
62 369914 62
63 387896 63
64 406452 64
65 425590 65
66 445320 66
67 465650 67
68 486590 68
69 508148 69
70 530333 70
71 553154 71
72 576622 72
73 600743 73
74 625528 74
75 650985 75
76 677124 76
77 703953 77
78 731482 78
79 759718 79
80 788673 80
81 818354 81
82 848770 82
83 879930 83
84 911844 84
85 944520 85
86 977968 86
87 1.0122e+06 87
88 1.04721e+06 88
89 1.08303e+06 89
90 1.11965e+06 90
91 1.15709e+06 91
92 1.19536e+06 92
93 1.23446e+06 93
94 1.2744e+06 94
95 1.3152e+06 95
96 1.35685e+06 96
97 1.39938e+06 97
98 1.44279e+06 98
99 1.48708e+06 99
100 1.53227e+06 100
101 1.57837e+06 101
102 1.62539e+06 102
103 1.67332e+06 103
104 1.7222e+06 104
105 1.77201e+06 105
106 1.82278e+06 106
107 1.8745e+06 107
108 1.9272e+06 108
109 1.98087e+06 109
110 2.03553e+06 110
111 2.09119e+06 111
112 2.14785e+06 112
113 2.20553e+06 113
114 2.26423e+06 114
115 2.32397e+06 115
116 2.38474e+06 116
117 2.44657e+06 117
118 2.50945e+06 118
119 2.5734e+06 119
120 2.63843e+06 120
121 2.70455e+06 121
122 2.77176e+06 122
123 2.84008e+06 123
124 2.90951e+06 124
125 2.98006e+06 125
126 3.05174e+06 126
127 3.12457e+06 127
128 3.19854e+06 128
129 3.27367e+06 129
130 3.34997e+06 130
131 3.42745e+06 131
132 3.50611e+06 132
133 3.58597e+06 133
134 3.66702e+06 134
135 3.7493e+06 135
136 3.83279e+06 136
137 3.91751e+06 137
138 4.00347e+06 138
139 4.09068e+06 139
140 4.17915e+06 140
141 4.26889e+06 141
142 4.3599e+06 142
143 4.45219e+06 143
144 4.54578e+06 144
145 4.64067e+06 145
146 4.73687e+06 146
147 4.83439e+06 147
148 4.93325e+06 148
149 5.03344e+06 149
150 5.13497e+06 150
151 5.23787e+06 151
152 5.34213e+06 152
153 5.44776e+06 153
154 5.55478e+06 154
155 5.66319e+06 155
156 5.773e+06 156
157 5.88422e+06 157
158 5.99686e+06 158
159 6.11093e+06 159
160 6.22643e+06 160
161 6.34339e+06 161
162 6.46179e+06 162
163 6.58167e+06 163
164 6.70301e+06 164
165 6.82584e+06 165
166 6.95016e+06 166
167 7.07598e+06 167
168 7.20331e+06 168
169 7.33216e+06 169
